question,document,score,pertinent,justification,fichier_trouve
A quelle hauteur suis je couvert en ostéopathie ?,82852_ccpma_sante evin_oda_tg et bar.pdf,9.0,OUI,"Le document contient une ligne explicite « Honoraires de médecines douces : Ostéopathie » avec les montants remboursés (25 €/séance ou 50 €/séance, limités à 4 séances/an selon le niveau Intermédiaire/Supérieur, hors Alsace-Moselle et Alsace-Moselle). Il permet donc de déterminer directement la hauteur de couverture en ostéopathie, sous réserve de connaître la formule souscrite.",True
A quelle hauteur suis je couvert en ostéopathie ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document contient une ligne explicite « Honoraires de médecines douces : Ostéopathie » avec les montants remboursés (25€/séance ou 50€/séance) et la limite (4 séances/an/bénéficiaire) selon le niveau de garantie, ce qui répond directement à la question.",True
A quelle hauteur suis je couvert en ostéopathie ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le tableau de garanties indique explicitement la prise en charge des « médecines douces : Ostéopathie » avec un montant par séance et un plafond annuel (25€/séance jusqu’à 4/an en Intermédiaire, 50€/séance jusqu’à 4/an en Supérieur), ce qui répond directement à la question sur la hauteur de couverture.",True
quel taux de remboursement pour le dentaire pour un salarié avec 2 ans d'ancienneté sur la tranche B ?,202201_TG_CCN52 Av51_Ref131.pdf,6.0,OUI,"Le document contient un tableau des garanties santé 2022 avec les niveaux de remboursement dentaire (soins, prothèses, orthodontie, etc.) exprimés en %BR/FR. En revanche, il ne mentionne pas de taux spécifique lié à “2 ans d’ancienneté” ni une distinction “tranche B” pour le dentaire, ce qui limite la réponse exacte à la question.",True
quel taux de remboursement pour le dentaire pour un salarié avec 2 ans d'ancienneté sur la tranche B ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,7.0,OUI,"Le document contient les tableaux de garanties « frais de santé » avec un volet dentaire (soins, prothèses, orthodontie, etc.) exprimé en % BR/FR, ce qui permet de déterminer les niveaux de remboursement dentaire. En revanche, il ne mentionne pas clairement une différenciation par « tranche B » ni par ancienneté (2 ans), donc il manque l’élément spécifique demandé.",True
est ce que je suis covert en cas d'invalidité et si oui à quelle hauteur ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document contient un tableau des garanties de prévoyance incluant explicitement l’« incapacité permanente/invalidité » (catégories 2 ou 3 et taux > 66,66%) avec les montants de pension complémentaire (40% du SAB tranche A et 90% au-delà). Il permet donc de répondre directement à la question sur la couverture en cas d’invalidité et son niveau, même s’il manque des éléments de situation personnelle pour conclure définitivement.",True
est ce que je suis covert en cas d'invalidité et si oui à quelle hauteur ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit explicitement les garanties de prévoyance liées à l’invalidité/incapacité permanente (conditions d’ouverture et montant de la pension complémentaire, en % du salaire selon tranches). Il précise toutefois que la couverture dépend des garanties effectivement souscrites par l’employeur, ce qui peut nécessiter vérification.",True
est ce que je suis covert en cas d'invalidité et si oui à quelle hauteur ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document décrit explicitement la garantie « incapacité permanente de travail » (invalidité) et précise les conditions d’ouverture (catégorie 2 ou 3 MSA ou taux ≥ 66,66%) ainsi que le montant de la pension complémentaire (40% jusqu’au PASS et 90% au-delà). Il permet donc de répondre directement à la question sur la couverture en cas d’invalidité et son niveau, sous réserve de vérifier l’affiliation effective de l’entreprise/du salarié.",True
quelles sont les garanties de ce regime pour un actif de 43 ans ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,7.0,OUI,"Le document est un tableau détaillé des garanties santé 2020 (socle/intermédiaire/supérieur) avec niveaux de remboursements par poste, ce qui permet de répondre sur les garanties du régime. En revanche, il ne précise pas de dispositions spécifiques liées à l’âge (43 ans) ni de conditions “actif” particulières.",True
quelles sont les garanties de ce regime pour un actif de 43 ans ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,7.0,OUI,"Le document présente un tableau détaillé des garanties santé 2020 (socle/intermédiaire/supérieur) avec niveaux de remboursements par poste, ce qui permet de répondre sur les garanties du régime. En revanche, il ne précise pas de dispositions spécifiques liées à l’âge (43 ans) ni de tarification selon l’âge.",True
